x,y,err,iters,ok
-1.7000,-1.7000,0.704163,120,0
-1.6433,-1.7000,0.664433,120,0
-1.5867,-1.7000,0.625406,120,0
-1.5300,-1.7000,0.587116,120,0
-1.4733,-1.7000,0.549602,120,0
-1.4167,-1.7000,0.512904,120,0
-1.3600,-1.7000,0.477062,120,0
-1.3033,-1.7000,0.442120,120,0
-1.2467,-1.7000,0.408122,120,0
-1.1900,-1.7000,0.375114,120,0
-1.1333,-1.7000,0.343146,120,0
-1.0767,-1.7000,0.312265,120,0
-1.0200,-1.7000,0.282524,120,0
-0.9633,-1.7000,0.253973,120,0
-0.9067,-1.7000,0.226667,120,0
-0.8500,-1.7000,0.200658,120,0
-0.7933,-1.7000,0.176000,120,0
-0.7367,-1.7000,0.152749,120,0
-0.6800,-1.7000,0.130956,120,0
-0.6233,-1.7000,0.110675,120,0
-0.5667,-1.7000,0.091957,120,0
-0.5100,-1.7000,0.074852,120,0
-0.4533,-1.7000,0.059407,120,0
-0.3967,-1.7000,0.045665,120,0
-0.3400,-1.7000,0.033667,120,0
-0.2833,-1.7000,0.023451,120,0
-0.2267,-1.7000,0.015047,120,0
-0.1700,-1.7000,0.008489,1,1
-0.1133,-1.7000,0.003784,1,1
-0.0567,-1.7000,0.000954,1,1
0.0000,-1.7000,0.000010,1,1
0.0567,-1.7000,0.000954,1,1
0.1133,-1.7000,0.003784,1,1
0.1700,-1.7000,0.008489,1,1
0.2267,-1.7000,0.015047,120,0
0.2833,-1.7000,0.023451,120,0
0.3400,-1.7000,0.033667,120,0
0.3967,-1.7000,0.045665,120,0
0.4533,-1.7000,0.059407,120,0
0.5100,-1.7000,0.074852,120,0
0.5667,-1.7000,0.091957,120,0
0.6233,-1.7000,0.110675,120,0
0.6800,-1.7000,0.130956,120,0
0.7367,-1.7000,0.152749,120,0
0.7933,-1.7000,0.176000,120,0
0.8500,-1.7000,0.200658,120,0
0.9067,-1.7000,0.226667,120,0
0.9633,-1.7000,0.253973,120,0
1.0200,-1.7000,0.282524,120,0
