i,x,y,z,posErr,ok
0,-5.6000,20.2250,-8.5750,0.000000,1
1,-5.6002,20.2390,-8.5750,0.000000,1
2,-5.6010,20.2529,-8.5750,0.000000,1
3,-5.6022,20.2668,-8.5750,0.000000,1
4,-5.6039,20.2807,-8.5750,0.000000,1
5,-5.6061,20.2945,-8.5750,0.000000,1
6,-5.6087,20.3082,-8.5750,0.000000,1
7,-5.6119,20.3218,-8.5750,0.000000,1
8,-5.6155,20.3353,-8.5750,0.000000,1
9,-5.6196,20.3486,-8.5750,0.000000,1
10,-5.6241,20.3618,-8.5750,0.000000,1
11,-5.6291,20.3748,-8.5750,0.000000,1
12,-5.6346,20.3877,-8.5750,0.000000,1
13,-5.6405,20.4003,-8.5750,0.000000,1
14,-5.6468,20.4128,-8.5750,0.000000,1
15,-5.6536,20.4250,-8.5750,0.000000,1
16,-5.6608,20.4370,-8.5750,0.000000,1
17,-5.6684,20.4487,-8.5750,0.000000,1
18,-5.6764,20.4601,-8.5750,0.000000,1
19,-5.6848,20.4713,-8.5750,0.000000,1
20,-5.6936,20.4821,-8.5750,0.000000,1
21,-5.7027,20.4927,-8.5750,0.000000,1
22,-5.7123,20.5029,-8.5750,0.000000,1
23,-5.7221,20.5127,-8.5750,0.000000,1
24,-5.7323,20.5223,-8.5750,0.000000,1
25,-5.7429,20.5314,-8.5750,0.000000,1
26,-5.7537,20.5402,-8.5750,0.000000,1
27,-5.7649,20.5486,-8.5750,0.000000,1
28,-5.7763,20.5566,-8.5750,0.000000,1
29,-5.7880,20.5642,-8.5750,0.000000,1
30,-5.8000,20.5714,-8.5750,0.000000,1
31,-5.8122,20.5782,-8.5750,0.000000,1
32,-5.8247,20.5845,-8.5750,0.000000,1
33,-5.8373,20.5904,-8.5750,0.000000,1
34,-5.8502,20.5959,-8.5750,0.000000,1
35,-5.8632,20.6009,-8.5750,0.000000,1
36,-5.8764,20.6054,-8.5750,0.000000,1
37,-5.8897,20.6095,-8.5750,0.000000,1
38,-5.9032,20.6131,-8.5750,0.000000,1
39,-5.9168,20.6163,-8.5750,0.000000,1
40,-5.9305,20.6189,-8.5750,0.000000,1
41,-5.9443,20.6211,-8.5750,0.000000,1
42,-5.9582,20.6228,-8.5750,0.000000,1
43,-5.9721,20.6240,-8.5750,0.000000,1
44,-5.9860,20.6248,-8.5750,0.000000,1
45,-6.0000,20.6250,-8.5750,0.000000,1
46,-6.0140,20.6248,-8.5750,0.000000,1
47,-6.0279,20.6240,-8.5750,0.000000,1
48,-6.0418,20.6228,-8.5750,0.000000,1
49,-6.0557,20.6211,-8.5750,0.000000,1
50,-6.0695,20.6189,-8.5750,0.000000,1
51,-6.0832,20.6163,-8.5750,0.000000,1
52,-6.0968,20.6131,-8.5750,0.000000,1
53,-6.1103,20.6095,-8.5750,0.000000,1
54,-6.1236,20.6054,-8.5750,0.000000,1
55,-6.1368,20.6009,-8.5750,0.000000,1
56,-6.1498,20.5959,-8.5750,0.000000,1
57,-6.1627,20.5904,-8.5750,0.000000,1
58,-6.1753,20.5845,-8.5750,0.000000,1
59,-6.1878,20.5782,-8.5750,0.000000,1
60,-6.2000,20.5714,-8.5750,0.000000,1
61,-6.2120,20.5642,-8.5750,0.000000,1
62,-6.2237,20.5566,-8.5750,0.000000,1
63,-6.2351,20.5486,-8.5750,0.000000,1
64,-6.2463,20.5402,-8.5750,0.000000,1
65,-6.2571,20.5314,-8.5750,0.000000,1
66,-6.2677,20.5223,-8.5750,0.000000,1
67,-6.2779,20.5127,-8.5750,0.000000,1
68,-6.2877,20.5029,-8.5750,0.000000,1
69,-6.2973,20.4927,-8.5750,0.000000,1
70,-6.3064,20.4821,-8.5750,0.000000,1
71,-6.3152,20.4713,-8.5750,0.000000,1
72,-6.3236,20.4601,-8.5750,0.000000,1
73,-6.3316,20.4487,-8.5750,0.000000,1
74,-6.3392,20.4370,-8.5750,0.000000,1
75,-6.3464,20.4250,-8.5750,0.000000,1
76,-6.3532,20.4128,-8.5750,0.000000,1
77,-6.3595,20.4003,-8.5750,0.000000,1
78,-6.3654,20.3877,-8.5750,0.000000,1
79,-6.3709,20.3748,-8.5750,0.000000,1
80,-6.3759,20.3618,-8.5750,0.000000,1
81,-6.3804,20.3486,-8.5750,0.000000,1
82,-6.3845,20.3353,-8.5750,0.000000,1
83,-6.3881,20.3218,-8.5750,0.000000,1
84,-6.3913,20.3082,-8.5750,0.000000,1
85,-6.3939,20.2945,-8.5750,0.000000,1
86,-6.3961,20.2807,-8.5750,0.000000,1
87,-6.3978,20.2668,-8.5750,0.000000,1
88,-6.3990,20.2529,-8.5750,0.000000,1
89,-6.3998,20.2390,-8.5750,0.000000,1
90,-6.4000,20.2250,-8.5750,0.000000,1
91,-6.3998,20.2110,-8.5750,0.000000,1
92,-6.3990,20.1971,-8.5750,0.000000,1
93,-6.3978,20.1832,-8.5750,0.000000,1
94,-6.3961,20.1693,-8.5750,0.000000,1
95,-6.3939,20.1555,-8.5750,0.000000,1
96,-6.3913,20.1418,-8.5750,0.000000,1
97,-6.3881,20.1282,-8.5750,0.000000,1
98,-6.3845,20.1147,-8.5750,0.000000,1
99,-6.3804,20.1014,-8.5750,0.000000,1
100,-6.3759,20.0882,-8.5750,0.000000,1
101,-6.3709,20.0752,-8.5750,0.000000,1
102,-6.3654,20.0623,-8.5750,0.000000,1
103,-6.3595,20.0497,-8.5750,0.000000,1
104,-6.3532,20.0372,-8.5750,0.000000,1
105,-6.3464,20.0250,-8.5750,0.000000,1
106,-6.3392,20.0130,-8.5750,0.000000,1
107,-6.3316,20.0013,-8.5750,0.000000,1
108,-6.3236,19.9899,-8.5750,0.000000,1
109,-6.3152,19.9787,-8.5750,0.000000,1
110,-6.3064,19.9679,-8.5750,0.000000,1
111,-6.2973,19.9573,-8.5750,0.000000,1
112,-6.2877,19.9471,-8.5750,0.000000,1
113,-6.2779,19.9373,-8.5750,0.000000,1
114,-6.2677,19.9277,-8.5750,0.000000,1
115,-6.2571,19.9186,-8.5750,0.000000,1
116,-6.2463,19.9098,-8.5750,0.000000,1
117,-6.2351,19.9014,-8.5750,0.000000,1
118,-6.2237,19.8934,-8.5750,0.000000,1
119,-6.2120,19.8858,-8.5750,0.000000,1
120,-6.2000,19.8786,-8.5750,0.000000,1
121,-6.1878,19.8718,-8.5750,0.000000,1
122,-6.1753,19.8655,-8.5750,0.000000,1
123,-6.1627,19.8596,-8.5750,0.000000,1
124,-6.1498,19.8541,-8.5750,0.000000,1
125,-6.1368,19.8491,-8.5750,0.000000,1
126,-6.1236,19.8446,-8.5750,0.000000,1
127,-6.1103,19.8405,-8.5750,0.000000,1
128,-6.0968,19.8369,-8.5750,0.000000,1
129,-6.0832,19.8337,-8.5750,0.000000,1
130,-6.0695,19.8311,-8.5750,0.000000,1
131,-6.0557,19.8289,-8.5750,0.000000,1
132,-6.0418,19.8272,-8.5750,0.000000,1
133,-6.0279,19.8260,-8.5750,0.000000,1
134,-6.0140,19.8252,-8.5750,0.000000,1
135,-6.0000,19.8250,-8.5750,0.000000,1
136,-5.9860,19.8252,-8.5750,0.000000,1
137,-5.9721,19.8260,-8.5750,0.000000,1
138,-5.9582,19.8272,-8.5750,0.000000,1
139,-5.9443,19.8289,-8.5750,0.000000,1
140,-5.9305,19.8311,-8.5750,0.000000,1
141,-5.9168,19.8337,-8.5750,0.000000,1
142,-5.9032,19.8369,-8.5750,0.000000,1
143,-5.8897,19.8405,-8.5750,0.000000,1
144,-5.8764,19.8446,-8.5750,0.000000,1
145,-5.8632,19.8491,-8.5750,0.000000,1
