ix,iy,iz,x,y,z,posErr,ok
0,0,0,-12.635958,15.589042,-6.210958,0.656563,0
1,0,0,-12.178306,15.589042,-6.210958,0.366185,0
2,0,0,-11.720653,15.589042,-6.210958,0.117258,0
3,0,0,-11.263001,15.589042,-6.210958,0.011383,0
4,0,0,-10.805349,15.589042,-6.210958,0.000392,1
5,0,0,-10.347697,15.589042,-6.210958,0.000008,1
6,0,0,-9.890044,15.589042,-6.210958,0.000000,1
7,0,0,-9.432392,15.589042,-6.210958,0.000000,1
8,0,0,-8.974740,15.589042,-6.210958,0.000000,1
9,0,0,-8.517087,15.589042,-6.210958,0.000000,1
10,0,0,-8.059435,15.589042,-6.210958,0.000000,1
11,0,0,-7.601783,15.589042,-6.210958,0.000000,1
12,0,0,-7.144131,15.589042,-6.210958,0.000000,1
13,0,0,-6.686478,15.589042,-6.210958,0.000000,1
14,0,0,-6.228826,15.589042,-6.210958,0.000000,1
15,0,0,-5.771174,15.589042,-6.210958,0.000000,1
16,0,0,-5.313522,15.589042,-6.210958,0.000000,1
17,0,0,-4.855869,15.589042,-6.210958,0.000000,1
18,0,0,-4.398217,15.589042,-6.210958,0.000000,1
19,0,0,-3.940565,15.589042,-6.210958,0.000000,1
20,0,0,-3.482913,15.589042,-6.210958,0.000000,1
21,0,0,-3.025260,15.589042,-6.210958,0.000000,1
22,0,0,-2.567608,15.589042,-6.210958,0.000000,1
23,0,0,-2.109956,15.589042,-6.210958,0.000000,1
24,0,0,-1.652303,15.589042,-6.210958,0.000000,1
25,0,0,-1.194651,15.589042,-6.210958,0.000000,1
26,0,0,-0.736999,15.589042,-6.210958,0.000000,1
27,0,0,-0.279347,15.589042,-6.210958,0.000000,1
28,0,0,0.178306,15.589042,-6.210958,0.000002,1
29,0,0,0.635958,15.589042,-6.210958,0.000098,1
0,1,0,-12.635958,16.046694,-6.210958,0.414216,0
1,1,0,-12.178306,16.046694,-6.210958,0.140308,0
2,1,0,-11.720653,16.046694,-6.210958,0.013177,0
3,1,0,-11.263001,16.046694,-6.210958,0.000358,1
4,1,0,-10.805349,16.046694,-6.210958,0.000005,1
5,1,0,-10.347697,16.046694,-6.210958,0.000000,1
6,1,0,-9.890044,16.046694,-6.210958,0.000000,1
7,1,0,-9.432392,16.046694,-6.210958,0.000000,1
8,1,0,-8.974740,16.046694,-6.210958,0.000000,1
9,1,0,-8.517087,16.046694,-6.210958,0.000000,1
10,1,0,-8.059435,16.046694,-6.210958,0.000000,1
11,1,0,-7.601783,16.046694,-6.210958,0.000000,1
12,1,0,-7.144131,16.046694,-6.210958,0.000000,1
13,1,0,-6.686478,16.046694,-6.210958,0.000000,1
14,1,0,-6.228826,16.046694,-6.210958,0.000000,1
15,1,0,-5.771174,16.046694,-6.210958,0.000000,1
16,1,0,-5.313522,16.046694,-6.210958,0.000000,1
17,1,0,-4.855869,16.046694,-6.210958,0.000000,1
18,1,0,-4.398217,16.046694,-6.210958,0.000000,1
19,1,0,-3.940565,16.046694,-6.210958,0.000000,1
20,1,0,-3.482913,16.046694,-6.210958,0.000000,1
21,1,0,-3.025260,16.046694,-6.210958,0.000000,1
22,1,0,-2.567608,16.046694,-6.210958,0.000000,1
23,1,0,-2.109956,16.046694,-6.210958,0.000000,1
24,1,0,-1.652303,16.046694,-6.210958,0.000000,1
25,1,0,-1.194651,16.046694,-6.210958,0.000000,1
26,1,0,-0.736999,16.046694,-6.210958,0.000000,1
27,1,0,-0.279347,16.046694,-6.210958,0.000000,1
28,1,0,0.178306,16.046694,-6.210958,0.000000,1
29,1,0,0.635958,16.046694,-6.210958,0.000001,1
0,2,0,-12.635958,16.504347,-6.210958,0.196411,0
1,2,0,-12.178306,16.504347,-6.210958,0.022674,0
2,2,0,-11.720653,16.504347,-6.210958,0.000579,1
3,2,0,-11.263001,16.504347,-6.210958,0.000007,1
4,2,0,-10.805349,16.504347,-6.210958,0.000000,1
5,2,0,-10.347697,16.504347,-6.210958,0.000000,1
6,2,0,-9.890044,16.504347,-6.210958,0.000000,1
7,2,0,-9.432392,16.504347,-6.210958,0.000000,1
8,2,0,-8.974740,16.504347,-6.210958,0.000000,1
9,2,0,-8.517087,16.504347,-6.210958,0.000000,1
10,2,0,-8.059435,16.504347,-6.210958,0.000000,1
11,2,0,-7.601783,16.504347,-6.210958,0.000000,1
12,2,0,-7.144131,16.504347,-6.210958,0.000000,1
13,2,0,-6.686478,16.504347,-6.210958,0.000000,1
14,2,0,-6.228826,16.504347,-6.210958,0.000000,1
15,2,0,-5.771174,16.504347,-6.210958,0.000000,1
16,2,0,-5.313522,16.504347,-6.210958,0.000000,1
17,2,0,-4.855869,16.504347,-6.210958,0.000000,1
18,2,0,-4.398217,16.504347,-6.210958,0.000000,1
19,2,0,-3.940565,16.504347,-6.210958,0.000000,1
20,2,0,-3.482913,16.504347,-6.210958,0.000000,1
21,2,0,-3.025260,16.504347,-6.210958,0.000000,1
22,2,0,-2.567608,16.504347,-6.210958,0.000000,1
23,2,0,-2.109956,16.504347,-6.210958,0.000000,1
24,2,0,-1.652303,16.504347,-6.210958,0.000000,1
25,2,0,-1.194651,16.504347,-6.210958,0.000000,1
26,2,0,-0.736999,16.504347,-6.210958,0.000000,1
27,2,0,-0.279347,16.504347,-6.210958,0.000000,1
28,2,0,0.178306,16.504347,-6.210958,0.000000,1
29,2,0,0.635958,16.504347,-6.210958,0.000000,1
0,3,0,-12.635958,16.961999,-6.210958,0.051404,0
1,3,0,-12.178306,16.961999,-6.210958,0.001583,1
2,3,0,-11.720653,16.961999,-6.210958,0.000017,1
3,3,0,-11.263001,16.961999,-6.210958,0.000000,1
4,3,0,-10.805349,16.961999,-6.210958,0.000000,1
5,3,0,-10.347697,16.961999,-6.210958,0.000000,1
6,3,0,-9.890044,16.961999,-6.210958,0.000000,1
7,3,0,-9.432392,16.961999,-6.210958,0.000000,1
8,3,0,-8.974740,16.961999,-6.210958,0.000000,1
9,3,0,-8.517087,16.961999,-6.210958,0.000000,1
10,3,0,-8.059435,16.961999,-6.210958,0.000000,1
11,3,0,-7.601783,16.961999,-6.210958,0.000000,1
12,3,0,-7.144131,16.961999,-6.210958,0.000000,1
13,3,0,-6.686478,16.961999,-6.210958,0.000000,1
14,3,0,-6.228826,16.961999,-6.210958,0.000000,1
15,3,0,-5.771174,16.961999,-6.210958,0.000000,1
16,3,0,-5.313522,16.961999,-6.210958,0.000000,1
17,3,0,-4.855869,16.961999,-6.210958,0.000000,1
18,3,0,-4.398217,16.961999,-6.210958,0.000000,1
19,3,0,-3.940565,16.961999,-6.210958,0.000000,1
20,3,0,-3.482913,16.961999,-6.210958,0.000000,1
21,3,0,-3.025260,16.961999,-6.210958,0.000000,1
22,3,0,-2.567608,16.961999,-6.210958,0.000000,1
23,3,0,-2.109956,16.961999,-6.210958,0.000000,1
24,3,0,-1.652303,16.961999,-6.210958,0.000000,1
25,3,0,-1.194651,16.961999,-6.210958,0.000000,1
26,3,0,-0.736999,16.961999,-6.210958,0.000000,1
27,3,0,-0.279347,16.961999,-6.210958,0.000000,1
28,3,0,0.178306,16.961999,-6.210958,0.000000,1
29,3,0,0.635958,16.961999,-6.210958,0.000000,1
0,4,0,-12.635958,17.419651,-6.210958,0.006517,1
1,4,0,-12.178306,17.419651,-6.210958,0.000075,1
2,4,0,-11.720653,17.419651,-6.210958,0.000000,1
3,4,0,-11.263001,17.419651,-6.210958,0.000000,1
4,4,0,-10.805349,17.419651,-6.210958,0.000000,1
5,4,0,-10.347697,17.419651,-6.210958,0.000000,1
6,4,0,-9.890044,17.419651,-6.210958,0.000000,1
7,4,0,-9.432392,17.419651,-6.210958,0.000000,1
8,4,0,-8.974740,17.419651,-6.210958,0.000000,1
9,4,0,-8.517087,17.419651,-6.210958,0.000000,1
10,4,0,-8.059435,17.419651,-6.210958,0.000000,1
11,4,0,-7.601783,17.419651,-6.210958,0.000000,1
12,4,0,-7.144131,17.419651,-6.210958,0.000000,1
13,4,0,-6.686478,17.419651,-6.210958,0.000000,1
14,4,0,-6.228826,17.419651,-6.210958,0.000000,1
15,4,0,-5.771174,17.419651,-6.210958,0.000000,1
16,4,0,-5.313522,17.419651,-6.210958,0.000000,1
17,4,0,-4.855869,17.419651,-6.210958,0.000000,1
18,4,0,-4.398217,17.419651,-6.210958,0.000000,1
19,4,0,-3.940565,17.419651,-6.210958,0.000000,1
20,4,0,-3.482913,17.419651,-6.210958,0.000000,1
21,4,0,-3.025260,17.419651,-6.210958,0.000000,1
22,4,0,-2.567608,17.419651,-6.210958,0.000000,1
23,4,0,-2.109956,17.419651,-6.210958,0.000000,1
24,4,0,-1.652303,17.419651,-6.210958,0.000000,1
25,4,0,-1.194651,17.419651,-6.210958,0.000000,1
26,4,0,-0.736999,17.419651,-6.210958,0.000000,1
27,4,0,-0.279347,17.419651,-6.210958,0.000000,1
28,4,0,0.178306,17.419651,-6.210958,0.000000,1
29,4,0,0.635958,17.419651,-6.210958,0.000000,1
