ix,iy,iz,x,y,z,targetDist,ok
0,0,0,-18.048002,9.176998,-12.623002,11.119138,0
1,0,0,-15.638402,9.176998,-12.623002,9.798187,0
2,0,0,-13.228801,9.176998,-12.623002,8.683444,0
3,0,0,-10.819201,9.176998,-12.623002,7.811223,0
4,0,0,-8.409600,9.176998,-12.623002,7.215909,0
5,0,0,-6.000000,9.176998,-12.623002,6.924627,0
6,0,0,-3.590400,9.176998,-12.623002,6.951879,0
7,0,0,-1.180799,9.176998,-12.623002,7.296270,0
8,0,0,1.228801,9.176998,-12.623002,7.940840,0
9,0,0,3.638402,9.176998,-12.623002,8.856828,0
10,0,0,6.048002,9.176998,-12.623002,10.009170,0
0,1,0,-18.048002,11.586598,-12.623002,9.824055,0
1,1,0,-15.638402,11.586598,-12.623002,8.416300,0
2,1,0,-13.228801,11.586598,-12.623002,7.218556,0
3,1,0,-10.819201,11.586598,-12.623002,6.274058,0
4,1,0,-8.409600,11.586598,-12.623002,5.625226,0
5,1,0,-6.000000,11.586598,-12.623002,5.306420,0
6,1,0,-3.590400,11.586598,-12.623002,5.336285,0
7,1,0,-1.180799,11.586598,-12.623002,5.713022,0
8,1,0,1.228801,11.586598,-12.623002,6.414862,0
9,1,0,3.638402,11.586598,-12.623002,7.405504,0
10,1,0,6.048002,11.586598,-12.623002,8.641932,0
0,2,0,-18.048002,13.996199,-12.623002,8.738030,0
1,2,0,-15.638402,13.996199,-12.623002,7.248022,0
2,2,0,-13.228801,13.996199,-12.623002,5.969875,0
3,2,0,-10.819201,13.996199,-12.623002,4.954038,0
4,2,0,-8.409600,13.996199,-12.623002,4.251758,0
5,2,0,-6.000000,13.996199,-12.623002,3.905356,0
6,2,0,-3.590400,13.996199,-12.623002,3.937843,0
7,2,0,-1.180799,13.996199,-12.623002,4.347002,0
8,2,0,1.228801,13.996199,-12.623002,5.105956,0
9,2,0,3.638402,13.996199,-12.623002,6.170079,0
10,2,0,6.048002,13.996199,-12.623002,7.487667,0
0,3,0,-18.048002,16.405799,-12.623002,7.896762,0
1,3,0,-15.638402,16.405799,-12.623002,6.336072,0
2,3,0,-13.228801,16.405799,-12.623002,4.987536,0
3,3,0,-10.819201,16.405799,-12.623002,3.908563,0
4,3,0,-8.409600,16.405799,-12.623002,3.159276,0
5,3,0,-6.000000,16.405799,-12.623002,2.789166,0
6,3,0,-3.590400,16.405799,-12.623002,2.823875,0
7,3,0,-1.180799,16.405799,-12.623002,3.261010,0
8,3,0,1.228801,16.405799,-12.623002,4.070324,0
9,3,0,3.638402,16.405799,-12.623002,5.199421,0
10,3,0,6.048002,16.405799,-12.623002,6.587859,0
0,4,0,-18.048002,18.815400,-12.623002,7.333508,0
1,4,0,-15.638402,18.815400,-12.623002,5.721658,0
2,4,0,-13.228801,18.815400,-12.623002,4.321571,0
3,4,0,-10.819201,18.815400,-12.623002,3.196603,0
4,4,0,-8.409600,18.815400,-12.623002,2.414889,0
5,4,0,-6.000000,18.815400,-12.623002,2.030454,0
6,4,0,-3.590400,18.815400,-12.623002,2.066397,0
7,4,0,-1.180799,18.815400,-12.623002,2.520879,0
8,4,0,1.228801,18.815400,-12.623002,3.365447,0
9,4,0,3.638402,18.815400,-12.623002,4.542030,0
10,4,0,6.048002,18.815400,-12.623002,5.982287,0
0,5,0,-18.048002,21.225000,-12.623002,7.073828,0
1,5,0,-15.638402,21.225000,-12.623002,5.437274,0
2,5,0,-13.228801,21.225000,-12.623002,4.012185,0
3,5,0,-10.819201,21.225000,-12.623002,2.865342,0
4,5,0,-8.409600,21.225000,-12.623002,2.069937,0
5,5,0,-6.000000,21.225000,-12.623002,1.681692,0
6,5,0,-3.590400,21.225000,-12.623002,1.717824,0
7,5,0,-1.180799,21.225000,-12.623002,2.177495,0
8,5,0,1.228801,21.225000,-12.623002,3.037470,0
9,5,0,3.638402,21.225000,-12.623002,4.236796,0
10,5,0,6.048002,21.225000,-12.623002,5.702186,0
0,6,0,-18.048002,23.634600,-12.623002,7.130512,0
1,6,0,-15.638402,23.634600,-12.623002,5.499413,0
2,6,0,-13.228801,23.634600,-12.623002,4.079847,0
3,6,0,-10.819201,23.634600,-12.623002,2.937795,0
4,6,0,-8.409600,23.634600,-12.623002,2.145220,0
5,6,0,-6.000000,23.634600,-12.623002,1.757501,0
6,6,0,-3.590400,23.634600,-12.623002,1.793632,0
7,6,0,-1.180799,23.634600,-12.623002,2.252480,0
8,6,0,1.228801,23.634600,-12.623002,3.109212,0
9,6,0,3.638402,23.634600,-12.623002,4.303541,0
10,6,0,6.048002,23.634600,-12.623002,5.763378,0
0,7,0,-18.048002,26.044201,-12.623002,7.500711,0
1,7,0,-15.638402,26.044201,-12.623002,5.904388,0
2,7,0,-13.228801,26.044201,-12.623002,4.519987,0
3,7,0,-10.819201,26.044201,-12.623002,3.408931,0
4,7,0,-8.409600,26.044201,-12.623002,2.636677,0
5,7,0,-6.000000,26.044201,-12.623002,2.255998,0
6,7,0,-3.590400,26.044201,-12.623002,2.291643,0
7,7,0,-1.180799,26.044201,-12.623002,2.741470,0
8,7,0,1.228801,26.044201,-12.623002,3.575650,0
9,7,0,3.638402,26.044201,-12.623002,4.737837,0
10,7,0,6.048002,26.044201,-12.623002,6.162329,0
