ix,iy,iz,x,y,z,posErr,targetDist,ok
0,0,0,-16.951491,-9.951491,-14.951491,18.754459,18.380847,0
1,0,0,-9.475745,-9.951491,-14.951491,15.782324,15.408713,0
2,0,0,-2.000000,-9.951491,-14.951491,14.692125,14.318514,0
3,0,0,5.475745,-9.951491,-14.951491,15.713102,15.339491,0
4,0,0,12.951491,-9.951491,-14.951491,18.629628,18.256016,0
0,1,0,-16.951491,-2.475745,-14.951491,14.031882,13.658270,0
1,1,0,-9.475745,-2.475745,-14.951491,10.421509,10.047898,0
2,1,0,-2.000000,-2.475745,-14.951491,9.045379,8.671768,0
3,1,0,5.475745,-2.475745,-14.951491,10.335103,9.961492,0
4,1,0,12.951491,-2.475745,-14.951491,13.883607,13.509996,0
0,2,0,-16.951491,5.000000,-14.951491,10.882526,10.508914,0
1,2,0,-9.475745,5.000000,-14.951491,6.647799,6.274188,0
2,2,0,-2.000000,5.000000,-14.951491,4.954327,4.580715,0
3,2,0,5.475745,5.000000,-14.951491,6.543078,6.169467,0
4,2,0,12.951491,5.000000,-14.951491,10.713001,10.339390,0
0,3,0,-16.951491,12.475745,-14.951491,10.017135,9.643524,0
1,3,0,-9.475745,12.475745,-14.951491,5.565890,5.192279,0
2,3,0,-2.000000,12.475745,-14.951491,3.750783,3.377172,0
3,3,0,5.475745,12.475745,-14.951491,5.454389,5.080777,0
4,3,0,12.951491,12.475745,-14.951491,9.840656,9.467045,0
0,4,0,-16.951491,19.951491,-14.951491,11.695585,11.321974,0
1,4,0,-9.475745,19.951491,-14.951491,7.643964,7.270353,0
2,4,0,-2.000000,19.951491,-14.951491,6.048283,5.674672,0
3,4,0,5.475745,19.951491,-14.951491,7.544794,7.171183,0
4,4,0,12.951491,19.951491,-14.951491,11.532111,11.158500,0
0,0,1,-16.951491,-9.951491,-7.475745,15.816869,15.443258,0
1,0,1,-9.475745,-9.951491,-7.475745,12.479632,12.106020,0
2,0,1,-2.000000,-9.951491,-7.475745,11.229839,10.856228,0
3,0,1,5.475745,-9.951491,-7.475745,12.400745,12.027134,0
4,0,1,12.951491,-9.951491,-7.475745,15.678424,15.304813,0
0,1,1,-16.951491,-2.475745,-7.475745,10.464583,10.090972,0
1,1,1,-9.475745,-2.475745,-7.475745,6.128318,5.754706,0
2,1,1,-2.000000,-2.475745,-7.475745,4.378662,4.005051,0
3,1,1,5.475745,-2.475745,-7.475745,6.020447,5.646836,0
4,1,1,12.951491,-2.475745,-7.475745,10.291770,9.918159,0
0,2,1,-16.951491,5.000000,-7.475745,6.699930,6.326319,0
1,2,1,-9.475745,5.000000,-7.475745,1.106629,0.733026,0
2,2,1,-2.000000,5.000000,-7.475745,0.000000,5.820398,1
3,2,1,5.475745,5.000000,-7.475745,0.954462,0.580904,0
4,2,1,12.951491,5.000000,-7.475745,6.490486,6.116874,0
0,3,1,-16.951491,12.475745,-7.475745,5.621365,5.247753,0
1,3,1,-9.475745,12.475745,-7.475745,0.000112,3.512492,1
2,3,1,-2.000000,12.475745,-7.475745,0.000000,8.598900,1
3,3,1,5.475745,12.475745,-7.475745,0.000006,4.040074,1
4,3,1,12.951491,12.475745,-7.475745,5.398358,5.024746,0
0,4,1,-16.951491,19.951491,-7.475745,7.693355,7.319743,0
1,4,1,-9.475745,19.951491,-7.475745,2.509936,2.136324,0
2,4,1,-2.000000,19.951491,-7.475745,0.227352,0.417218,0
3,4,1,5.475745,19.951491,-7.475745,2.373448,1.999837,0
4,4,1,12.951491,19.951491,-7.475745,7.495012,7.121401,0
0,0,2,-16.951491,-9.951491,0.000000,14.764064,14.390453,0
1,0,2,-9.475745,-9.951491,0.000000,11.271368,10.897756,0
2,0,2,-2.000000,-9.951491,0.000000,9.950471,9.576859,0
3,0,2,5.475745,-9.951491,0.000000,11.188234,10.814623,0
4,0,2,12.951491,-9.951491,0.000000,14.619986,14.246375,0
0,1,2,-16.951491,-2.475745,0.000000,9.137252,8.763641,0
1,1,2,-9.475745,-2.475745,0.000000,4.438335,4.064723,0
2,1,2,-2.000000,-2.475745,0.000000,2.474926,2.101315,0
3,1,2,5.475745,-2.475745,0.000000,4.318761,3.945149,0
4,1,2,12.951491,-2.475745,0.000000,8.953089,8.579478,0
0,2,2,-16.951491,5.000000,0.000000,5.069245,4.695634,0
1,2,2,-9.475745,5.000000,0.000000,0.000000,5.646547,1
2,2,2,-2.000000,5.000000,0.000000,0.000000,9.669001,1
3,2,2,5.475745,5.000000,0.000000,0.000000,5.989204,1
4,2,2,12.951491,5.000000,0.000000,4.838588,4.464976,0
0,3,2,-16.951491,12.475745,0.000000,3.874848,3.501237,0
1,3,2,-9.475745,12.475745,0.000000,0.000000,8.482190,1
2,3,2,-2.000000,12.475745,0.000000,1.194939,12.817713,0
3,3,2,5.475745,12.475745,0.000000,0.000000,8.714047,1
4,3,2,12.951491,12.475745,0.000000,3.625684,3.252073,0
0,4,2,-16.951491,19.951491,0.000000,6.155981,5.782370,0
1,4,2,-9.475745,19.951491,0.000000,0.304740,0.255646,0
2,4,2,-2.000000,19.951491,0.000000,0.000000,7.375132,1
3,4,2,5.475745,19.951491,0.000000,0.154556,0.645933,0
4,4,2,12.951491,19.951491,0.000000,5.939911,5.566300,0
0,0,3,-16.951491,-9.951491,7.475745,15.816869,15.443258,0
1,0,3,-9.475745,-9.951491,7.475745,12.479632,12.106020,0
2,0,3,-2.000000,-9.951491,7.475745,11.229839,10.856228,0
3,0,3,5.475745,-9.951491,7.475745,12.400745,12.027134,0
4,0,3,12.951491,-9.951491,7.475745,15.678424,15.304813,0
0,1,3,-16.951491,-2.475745,7.475745,10.464583,10.090972,0
1,1,3,-9.475745,-2.475745,7.475745,6.128318,5.754706,0
2,1,3,-2.000000,-2.475745,7.475745,4.378662,4.005051,0
3,1,3,5.475745,-2.475745,7.475745,6.020447,5.646836,0
4,1,3,12.951491,-2.475745,7.475745,10.291770,9.918159,0
0,2,3,-16.951491,5.000000,7.475745,6.699930,6.326319,0
1,2,3,-9.475745,5.000000,7.475745,1.106629,0.733022,0
2,2,3,-2.000000,5.000000,7.475745,0.000000,4.179471,1
3,2,3,5.475745,5.000000,7.475745,0.954462,0.580877,0
4,2,3,12.951491,5.000000,7.475745,6.490486,6.116874,0
0,3,3,-16.951491,12.475745,7.475745,5.621365,5.247753,0
1,3,3,-9.475745,12.475745,7.475745,0.000112,2.580181,1
2,3,3,-2.000000,12.475745,7.475745,0.000000,7.270706,1
