ix,iy,x,y,z,posErr,ok
0,0,-17.0752,4.1498,-2.5750,10.614042,0
1,0,-15.9677,4.1498,-2.5750,10.017938,0
2,0,-14.8602,4.1498,-2.5750,9.464266,0
3,0,-13.7527,4.1498,-2.5750,8.956542,0
4,0,-12.6451,4.1498,-2.5750,8.498339,0
5,0,-11.5376,4.1498,-2.5750,8.093207,0
6,0,-10.4301,4.1498,-2.5750,7.744570,0
7,0,-9.3226,4.1498,-2.5750,7.455615,0
8,0,-8.2150,4.1498,-2.5750,7.229165,0
9,0,-7.1075,4.1498,-2.5750,7.067560,0
10,0,-6.0000,4.1498,-2.5750,6.972541,0
11,0,-4.8925,4.1498,-2.5750,6.945159,0
12,0,-3.7850,4.1498,-2.5750,6.985722,0
13,0,-2.6774,4.1498,-2.5750,7.093775,0
14,0,-1.5699,4.1498,-2.5750,7.268127,0
15,0,-0.4624,4.1498,-2.5750,7.506913,0
16,0,0.6451,4.1498,-2.5750,7.807691,0
17,0,1.7527,4.1498,-2.5750,8.167556,0
18,0,2.8602,4.1498,-2.5750,8.583266,0
19,0,3.9677,4.1498,-2.5750,9.051363,0
20,0,5.0752,4.1498,-2.5750,9.568288,0
0,1,-17.0752,5.2573,-2.5750,9.712722,0
1,1,-15.9677,5.2573,-2.5750,9.090011,0
2,1,-14.8602,5.2573,-2.5750,8.510144,0
3,1,-13.7527,5.2573,-2.5750,7.977031,0
4,1,-12.6451,5.2573,-2.5750,7.494695,0
5,1,-11.5376,5.2573,-2.5750,7.067183,0
6,1,-10.4301,5.2573,-2.5750,6.698448,0
7,1,-9.3226,5.2573,-2.5750,6.392211,0
8,1,-8.2150,5.2573,-2.5750,6.151800,0
9,1,-7.1075,5.2573,-2.5750,5.979999,0
10,1,-6.0000,5.2573,-2.5750,5.878891,0
11,1,-4.8925,5.2573,-2.5750,5.849741,0
12,1,-3.7850,5.2573,-2.5750,5.892920,0
13,1,-2.6774,5.2573,-2.5750,6.007881,0
14,1,-1.5699,5.2573,-2.5750,6.193191,0
15,1,-0.4624,5.2573,-2.5750,6.446620,0
16,1,0.6451,5.2573,-2.5750,6.765267,0
17,1,1.7527,5.2573,-2.5750,7.145715,0
18,1,2.8602,5.2573,-2.5750,7.584186,0
19,1,3.9677,5.2573,-2.5750,8.076699,0
20,1,5.0752,5.2573,-2.5750,8.619203,0
0,2,-17.0752,6.3648,-2.5750,8.832205,0
1,2,-15.9677,6.3648,-2.5750,8.181063,0
2,2,-14.8602,6.3648,-2.5750,7.572977,0
3,2,-13.7527,6.3648,-2.5750,7.012285,0
4,2,-12.6451,6.3648,-2.5750,6.503520,0
5,2,-11.5376,6.3648,-2.5750,6.051305,0
6,2,-10.4301,6.3648,-2.5750,5.660223,0
7,2,-9.3226,6.3648,-2.5750,5.334639,0
8,2,-8.2150,6.3648,-2.5750,5.078511,0
9,2,-7.1075,6.3648,-2.5750,4.895179,0
10,2,-6.0000,6.3648,-2.5750,4.787164,0
11,2,-4.8925,6.3648,-2.5750,4.756006,0
12,2,-3.7850,6.3648,-2.5750,4.802157,0
13,2,-2.6774,6.3648,-2.5750,4.924950,0
14,2,-1.5699,6.3648,-2.5750,5.122642,0
15,2,-0.4624,6.3648,-2.5750,5.392539,0
16,2,0.6451,6.3648,-2.5750,5.731166,0
17,2,1.7527,6.3648,-2.5750,6.134470,0
18,2,2.8602,6.3648,-2.5750,6.598026,0
19,2,3.9677,6.3648,-2.5750,7.117235,0
20,2,5.0752,6.3648,-2.5750,7.687479,0
0,3,-17.0752,7.4723,-2.5750,7.975374,0
1,3,-15.9677,7.4723,-2.5750,7.293909,0
2,3,-14.8602,7.4723,-2.5750,6.655448,0
3,3,-13.7527,7.4723,-2.5750,6.064794,0
4,3,-12.6451,7.4723,-2.5750,5.527045,0
5,3,-11.5376,7.4723,-2.5750,5.047491,0
6,3,-10.4301,7.4723,-2.5750,4.631458,0
7,3,-9.3226,7.4723,-2.5750,4.284103,0
8,3,-8.2150,7.4723,-2.5750,4.010167,0
9,3,-7.1075,7.4723,-2.5750,3.813699,0
10,3,-6.0000,7.4723,-2.5750,3.697787,0
11,3,-4.8925,7.4723,-2.5750,3.664328,0
12,3,-3.7850,7.4723,-2.5750,3.713884,0
13,3,-2.6774,7.4723,-2.5750,3.845626,0
14,3,-1.5699,7.4723,-2.5750,4.057411,0
15,3,-0.4624,7.4723,-2.5750,4.345945,0
16,3,0.6451,7.4723,-2.5750,4.707022,0
17,3,1.7527,7.4723,-2.5750,5.135801,0
18,3,2.8602,7.4723,-2.5750,5.627073,0
19,3,3.9677,7.4723,-2.5750,6.175504,0
20,3,5.0752,7.4723,-2.5750,6.775832,0
0,4,-17.0752,8.5799,-2.5750,7.145567,0
1,4,-15.9677,8.5799,-2.5750,6.431859,0
2,4,-14.8602,8.5799,-2.5750,5.760768,0
3,4,-13.7527,8.5799,-2.5750,5.137582,0
4,4,-12.6451,8.5799,-2.5750,4.568023,0
5,4,-11.5376,8.5799,-2.5750,4.058139,0
6,4,-10.4301,8.5799,-2.5750,3.614140,0
7,4,-9.3226,8.5799,-2.5750,3.242151,0
8,4,-8.2150,8.5799,-2.5750,2.947897,0
9,4,-7.1075,8.5799,-2.5750,2.736343,0
10,4,-6.0000,8.5799,-2.5750,2.611319,0
11,4,-4.8925,8.5799,-2.5750,2.575201,0
12,4,-3.7850,8.5799,-2.5750,2.628691,0
13,4,-2.6774,8.5799,-2.5750,2.770752,0
14,4,-1.5699,8.5799,-2.5750,2.998704,0
15,4,-0.4624,8.5799,-2.5750,3.308468,0
16,4,0.6451,8.5799,-2.5750,3.694905,0
17,4,1.7527,8.5799,-2.5750,4.152182,0
18,4,2.8602,8.5799,-2.5750,4.674137,0
19,4,3.9677,8.5799,-2.5750,5.254574,0
20,4,5.0752,8.5799,-2.5750,5.887497,0
0,5,-17.0752,9.6874,-2.5750,6.346644,0
1,5,-15.9677,9.6874,-2.5750,5.598805,0
2,5,-14.8602,9.6874,-2.5750,4.892774,0
3,5,-13.7527,9.6874,-2.5750,4.234330,0
4,5,-12.6451,9.6874,-2.5750,3.629863,0
5,5,-11.5376,9.6874,-2.5750,3.086276,0
6,5,-10.4301,9.6874,-2.5750,2.610819,0
7,5,-9.3226,9.6874,-2.5750,2.210800,0
8,5,-8.2150,9.6874,-2.5750,1.893193,0
9,5,-7.1075,9.6874,-2.5750,1.664156,0
10,5,-6.0000,9.6874,-2.5750,1.528514,0
11,5,-4.8925,9.6874,-2.5750,1.489287,0
12,5,-3.7850,9.6874,-2.5750,1.547374,0
13,5,-2.6774,9.6874,-2.5750,1.701449,0
14,5,-1.5699,9.6874,-2.5750,1.948109,0
15,5,-0.4624,9.6874,-2.5750,2.282233,0
16,5,0.6451,9.6874,-2.5750,2.697462,0
17,5,1.7527,9.6874,-2.5750,3.186722,0
18,5,2.8602,9.6874,-2.5750,3.742690,0
19,5,3.9677,9.6874,-2.5750,4.358164,0
20,5,5.0752,9.6874,-2.5750,5.026329,0
0,6,-17.0752,10.7949,-2.5750,5.583044,0
1,6,-15.9677,10.7949,-2.5750,4.799306,0
2,6,-14.8602,10.7949,-2.5750,4.056053,0
3,6,-13.7527,10.7949,-2.5750,3.359532,0
4,6,-12.6451,10.7949,-2.5750,2.716819,0
5,6,-11.5376,10.7949,-2.5750,2.135759,0
6,6,-10.4301,10.7949,-2.5750,1.624809,0
7,6,-9.3226,10.7949,-2.5750,1.192720,0
8,6,-8.2150,10.7949,-2.5750,0.848062,0
9,6,-7.1075,10.7949,-2.5750,0.598626,0
10,6,-6.0000,10.7949,-2.5750,0.450743,0
11,6,-4.8925,10.7949,-2.5750,0.408039,0
12,6,-3.7850,10.7949,-2.5750,0.471293,0
13,6,-2.6774,10.7949,-2.5750,0.639283,0
14,6,-1.5699,10.7949,-2.5750,0.907761,0
15,6,-0.4624,10.7949,-2.5750,1.270038,0
16,6,0.6451,10.7949,-2.5750,1.718123,0
17,6,1.7527,10.7949,-2.5750,2.243368,0
18,6,2.8602,10.7949,-2.5750,2.837045,0
19,6,3.9677,10.7949,-2.5750,3.490797,0
20,6,5.0752,10.7949,-2.5750,4.196920,0
0,7,-17.0752,11.9024,-2.5750,4.859841,0
1,7,-15.9677,11.9024,-2.5750,4.038685,0
2,7,-14.8602,11.9024,-2.5750,3.256079,0
3,7,-13.7527,11.9024,-2.5750,2.518676,0
4,7,-12.6451,11.9024,-2.5750,1.834215,0
5,7,-11.5376,11.9024,-2.5750,1.211537,0
6,7,-10.4301,11.9024,-2.5750,0.660519,0
7,7,-9.3226,11.9024,-2.5750,0.202589,0
8,7,-8.2150,11.9024,-2.5750,0.009430,1
9,7,-7.1075,11.9024,-2.5750,0.000061,1
10,7,-6.0000,11.9024,-2.5750,0.000020,1
11,7,-4.8925,11.9024,-2.5750,0.000015,1
12,7,-3.7850,11.9024,-2.5750,0.000021,1
13,7,-2.6774,11.9024,-2.5750,0.000211,1
14,7,-1.5699,11.9024,-2.5750,0.020481,0
15,7,-0.4624,11.9024,-2.5750,0.280131,0
16,7,0.6451,11.9024,-2.5750,0.761393,0
17,7,1.7527,11.9024,-2.5750,1.327158,0
18,7,2.8602,11.9024,-2.5750,1.962573,0
19,7,3.9677,11.9024,-2.5750,2.657972,0
20,7,5.0752,11.9024,-2.5750,3.404723,0
0,8,-17.0752,13.0100,-2.5750,4.182776,0
1,8,-15.9677,13.0100,-2.5750,3.323097,0
2,8,-14.8602,13.0100,-2.5750,2.499344,0
3,8,-13.7527,13.0100,-2.5750,1.718449,0
4,8,-12.6451,13.0100,-2.5750,0.988728,0
5,8,-11.5376,13.0100,-2.5750,0.322992,0
6,8,-10.4301,13.0100,-2.5750,0.003560,1
7,8,-9.3226,13.0100,-2.5750,0.000001,1
8,8,-8.2150,13.0100,-2.5750,0.000000,1
9,8,-7.1075,13.0100,-2.5750,0.000000,1
10,8,-6.0000,13.0100,-2.5750,0.000000,1
11,8,-4.8925,13.0100,-2.5750,0.000000,1
12,8,-3.7850,13.0100,-2.5750,0.000000,1
13,8,-2.6774,13.0100,-2.5750,0.000000,1
14,8,-1.5699,13.0100,-2.5750,0.000000,1
15,8,-0.4624,13.0100,-2.5750,0.000005,1
16,8,0.6451,13.0100,-2.5750,0.013515,0
17,8,1.7527,13.0100,-2.5750,0.445285,0
18,8,2.8602,13.0100,-2.5750,1.125972,0
19,8,3.9677,13.0100,-2.5750,1.866350,0
20,8,5.0752,13.0100,-2.5750,2.656173,0
0,9,-17.0752,14.1175,-2.5750,3.558246,0
1,9,-15.9677,14.1175,-2.5750,2.659575,0
2,9,-14.8602,14.1175,-2.5750,1.793467,0
3,9,-13.7527,14.1175,-2.5750,0.966943,0
4,9,-12.6451,14.1175,-2.5750,0.201174,0
5,9,-11.5376,14.1175,-2.5750,0.000098,1
6,9,-10.4301,14.1175,-2.5750,0.000000,1
7,9,-9.3226,14.1175,-2.5750,0.000000,1
8,9,-8.2150,14.1175,-2.5750,0.000000,1
9,9,-7.1075,14.1175,-2.5750,0.000000,1
10,9,-6.0000,14.1175,-2.5750,0.000000,1
11,9,-4.8925,14.1175,-2.5750,0.000000,1
12,9,-3.7850,14.1175,-2.5750,0.000000,1
13,9,-2.6774,14.1175,-2.5750,0.000000,1
14,9,-1.5699,14.1175,-2.5750,0.000000,1
15,9,-0.4624,14.1175,-2.5750,0.000000,1
16,9,0.6451,14.1175,-2.5750,0.000000,1
17,9,1.7527,14.1175,-2.5750,0.000738,1
18,9,2.8602,14.1175,-2.5750,0.338152,0
19,9,3.9677,14.1175,-2.5750,1.123947,0
20,9,5.0752,14.1175,-2.5750,1.958783,0
0,10,-17.0752,15.2250,-2.5750,2.993244,0
1,10,-15.9677,15.2250,-2.5750,2.056006,0
2,10,-14.8602,15.2250,-2.5750,1.147255,0
3,10,-13.7527,15.2250,-2.5750,0.278988,0
4,10,-12.6451,15.2250,-2.5750,0.000069,1
5,10,-11.5376,15.2250,-2.5750,0.000000,1
6,10,-10.4301,15.2250,-2.5750,0.000000,1
7,10,-9.3226,15.2250,-2.5750,0.000000,1
8,10,-8.2150,15.2250,-2.5750,0.000000,1
9,10,-7.1075,15.2250,-2.5750,0.000000,1
10,10,-6.0000,15.2250,-2.5750,0.000000,1
11,10,-4.8925,15.2250,-2.5750,0.000000,1
12,10,-3.7850,15.2250,-2.5750,0.000000,1
13,10,-2.6774,15.2250,-2.5750,0.000000,1
14,10,-1.5699,15.2250,-2.5750,0.000000,1
15,10,-0.4624,15.2250,-2.5750,0.000000,1
16,10,0.6451,15.2250,-2.5750,0.000000,1
17,10,1.7527,15.2250,-2.5750,0.000000,1
18,10,2.8602,15.2250,-2.5750,0.000735,1
19,10,3.9677,15.2250,-2.5750,0.441072,0
20,10,5.0752,15.2250,-2.5750,1.321180,0
0,11,-17.0752,16.3325,-2.5750,2.495198,0
1,11,-15.9677,16.3325,-2.5750,1.521000,0
2,11,-14.8602,16.3325,-2.5750,0.570805,0
3,11,-13.7527,16.3325,-2.5750,0.001463,1
4,11,-12.6451,16.3325,-2.5750,0.000000,1
5,11,-11.5376,16.3325,-2.5750,0.000000,1
6,11,-10.4301,16.3325,-2.5750,0.000000,1
7,11,-9.3226,16.3325,-2.5750,0.000000,1
8,11,-8.2150,16.3325,-2.5750,0.000000,1
9,11,-7.1075,16.3325,-2.5750,0.000000,1
10,11,-6.0000,16.3325,-2.5750,0.000000,1
11,11,-4.8925,16.3325,-2.5750,0.000000,1
12,11,-3.7850,16.3325,-2.5750,0.000000,1
13,11,-2.6774,16.3325,-2.5750,0.000000,1
14,11,-1.5699,16.3325,-2.5750,0.000000,1
15,11,-0.4624,16.3325,-2.5750,0.000000,1
16,11,0.6451,16.3325,-2.5750,0.000000,1
17,11,1.7527,16.3325,-2.5750,0.000000,1
18,11,2.8602,16.3325,-2.5750,0.000000,1
19,11,3.9677,16.3325,-2.5750,0.013086,0
20,11,5.0752,16.3325,-2.5750,0.753046,0
0,12,-17.0752,17.4400,-2.5750,2.071711,0
1,12,-15.9677,17.4400,-2.5750,1.063616,0
2,12,-14.8602,17.4400,-2.5750,0.111166,0
3,12,-13.7527,17.4400,-2.5750,0.000000,1
4,12,-12.6451,17.4400,-2.5750,0.000000,1
5,12,-11.5376,17.4400,-2.5750,0.000000,1
6,12,-10.4301,17.4400,-2.5750,0.000000,1
7,12,-9.3226,17.4400,-2.5750,0.000000,1
8,12,-8.2150,17.4400,-2.5750,0.000000,1
9,12,-7.1075,17.4400,-2.5750,0.000000,1
10,12,-6.0000,17.4400,-2.5750,0.000000,1
11,12,-4.8925,17.4400,-2.5750,0.000000,1
12,12,-3.7850,17.4400,-2.5750,0.000000,1
13,12,-2.6774,17.4400,-2.5750,0.000000,1
14,12,-1.5699,17.4400,-2.5750,0.000000,1
15,12,-0.4624,17.4400,-2.5750,0.000000,1
16,12,0.6451,17.4400,-2.5750,0.000000,1
17,12,1.7527,17.4400,-2.5750,0.000000,1
18,12,2.8602,17.4400,-2.5750,0.000000,1
19,12,3.9677,17.4400,-2.5750,0.000006,1
20,12,5.0752,17.4400,-2.5750,0.270451,0
0,13,-17.0752,18.5476,-2.5750,1.730173,0
1,13,-15.9677,18.5476,-2.5750,0.692936,0
2,13,-14.8602,18.5476,-2.5750,0.001878,1
3,13,-13.7527,18.5476,-2.5750,0.000000,1
4,13,-12.6451,18.5476,-2.5750,0.000000,1
5,13,-11.5376,18.5476,-2.5750,0.000000,1
6,13,-10.4301,18.5476,-2.5750,0.000000,1
7,13,-9.3226,18.5476,-2.5750,0.000000,1
8,13,-8.2150,18.5476,-2.5750,0.000000,1
9,13,-7.1075,18.5476,-2.5750,0.000000,1
10,13,-6.0000,18.5476,-2.5750,0.000001,1
11,13,-4.8925,18.5476,-2.5750,0.000001,1
12,13,-3.7850,18.5476,-2.5750,0.000000,1
